node1,node2,route_distance,Heuristic distance
Agra,Gaya,871,748
Agra,Agra,0,0
Agra,Jehanabad,872,730
Aligarh,Sikar,358,292
Aligarh,Faridabad,117,94
Aligarh,Rohtas,773,668
Aligarh,Jehanabad,875,748
Araria,Gaya,396,287
Araria,Bundi,1428,1186
Araria,Hanamkonda,1647,1213
Araria,Jodhpur,1665,1441
Araria,Nawada,320,236
Arrah,Nawada,155,115
Arrah,Durgapur,443,350
Arrah,Rohtas,94,84
Baghpat,Kota,542,434
Baghpat,Sitamarhi,1053,856
Baghpat,Morena,345,281
Baghpat,Baghpat,0,0
Balaghat,Kota,768,579
Balaghat,Sagar,353,269
Balaghat,Balaghat,0,0
Belagavi,Kota,1212,1046
Belagavi,Daudnagar,1794,1448
Belagavi,Bikaner,1630,1353
Belagavi,Rohtas,1756,1422
Bhagalpur,Calicut,2466,1945
Bhopal,Prayagraj,619,510
Bhopal,Morena,460,363
Bhopal,Nawada,1045,846
Bikaner,Belagavi,1630,1353
Bikaner,Lucknow,855,766
Bundi,Araria,1428,1186
Bundi,Bundi,0,0
Bundi,Sarangarh,1081,869
Bundi,Durgapur,1386,1200
Calicut,Bhagalpur,2466,1945
Calicut,Kota,1894,1544
Calicut,Lakhimpur,2357,1919
Chitrakoot,Patna,495,432
Chitrakoot,Morena,423,322
Chitrakoot,Sitapur,316,265
Chitrakoot,Durgapur,757,679
Chitrakoot,Chitrakoot,0,0
Chitrakoot,Sri Ganganagar,1045,866
Daudnagar,Belagavi,1794,1448
Daudnagar,Daudnagar,0,0
Daudnagar,Faridabad,975,797
Daudnagar,Durgapur,377,339
Delhi,Lakhimpur,451,370
Delhi,Delhi,0,0
Durgapur,Arrah,443,350
Durgapur,Bundi,1386,1200
Durgapur,Chitrakoot,757,679
Durgapur,Daudnagar,377,339
Durgapur,Sikar,1452,1303
Durgapur,Sitamarhi,481,385
Durgapur,Morena,1108,996
Durgapur,Sitapur,933,803
Durgapur,Jodhpur,1669,1473
Durgapur,Durgapur,0,0
Faridabad,Aligarh,117,94
Faridabad,Daudnagar,975,797
Faridabad,Sitamarhi,1004,833
Faridabad,Faridabad,0,0
Faridabad,Mahoba,544,429
Faridabad,Pakur,1335,1129
Faridabad,Jaipur,272,224
Gaya,Agra,871,748
Gaya,Araria,396,287
Gaya,Gaya,0,0
Gaya,Sitapur,628,530
Gaya,Mahoba,605,519
Gaya,Ghazipur,207,168
Ghazipur,Gaya,207,168
Ghazipur,Madhepura,342,288
Ghazipur,Ghazipur,0,0
Hanamkonda,Araria,1647,1213
Hanamkonda,Sarangarh,802,541
Hanamkonda,Madhepura,1516,1145
Hanamkonda,Nawada,1349,982
Jaipur,Faridabad,272,224
Jaipur,Sagar,615,451
Jaipur,Jaipur,0,0
Jehanabad,Agra,872,730
Jehanabad,Aligarh,875,748
Jodhpur,Araria,1665,1441
Jodhpur,Durgapur,1669,1473
Jodhpur,Rajsamand,190,155
Kota,Baghpat,542,434
Kota,Balaghat,768,579
Kota,Belagavi,1212,1046
Kota,Calicut,1894,1544
Lakhimpur,Calicut,2357,1919
Lakhimpur,Delhi,451,370
Lucknow,Bikaner,855,766
Lucknow,Patna,504,440
Lucknow,Prayagraj,201,180
Lucknow,Sarangarh,828,621
Lucknow,Pakur,884,734
Madhepura,Ghazipur,342,288
Madhepura,Hanamkonda,1516,1145
Madhepura,Sarangarh,837,609
Madhepura,Nawada,216,165
Mahoba,Faridabad,544,429
Mahoba,Gaya,605,519
Mirzapur,Raebareli,208,179
Mirzapur,Sagar,515,413
Morena,Baghpat,345,281
Morena,Bhopal,460,363
Morena,Chitrakoot,423,322
Morena,Durgapur,1108,996
Morena,Raebareli,398,326
Morena,Rohtas,735,624
Nawada,Araria,320,236
Nawada,Arrah,155,115
Nawada,Bhopal,1045,846
Nawada,Hanamkonda,1349,982
Nawada,Madhepura,216,165
Nawada,Una,1451,1165
Pakur,Faridabad,1335,1129
Pakur,Lucknow,884,734
Pakur,Raebareli,853,686
Pakur,Sitamarhi,450,320
Pakur,Pakur,0,0
Pakur,Rohtas,494,390
Pakur,Palamu,551,390
Pakur,Sri Ganganagar,1838,1500
Palamu,Pakur,551,390
Palamu,Sarangarh,427,270
Palamu,Rohtas,189,136
Patna,Chitrakoot,495,432
Patna,Lucknow,504,440
Patna,Raebareli,473,395
Patna,Rohtas,146,126
Prayagraj,Bhopal,619,510
Prayagraj,Lucknow,201,180
Prayagraj,Sikar,822,710
Prayagraj,Prayagraj,0,0
Raebareli,Mirzapur,208,179
Raebareli,Morena,398,326
Raebareli,Pakur,853,686
Raebareli,Patna,473,395
Rajsamand,Jodhpur,190,155
Rajsamand,Rajsamand,0,0
Rajsamand,Sitapur,899,732
Rohtas,Aligarh,773,668
Rohtas,Arrah,94,84
Rohtas,Belagavi,1756,1422
Rohtas,Morena,735,624
Rohtas,Pakur,494,390
Rohtas,Palamu,189,136
Rohtas,Patna,146,126
Rohtas,Rohtas,0,0
Rohtas,Sri Ganganagar,1346,1135
Sagar,Balaghat,353,269
Sagar,Jaipur,615,451
Sagar,Mirzapur,515,413
Sarangarh,Bundi,1081,869
Sarangarh,Hanamkonda,802,541
Sarangarh,Lucknow,828,621
Sarangarh,Madhepura,837,609
Sarangarh,Palamu,427,270
Sarangarh,Sikar,1335,1044
Sikar,Aligarh,358,292
Sikar,Durgapur,1452,1303
Sikar,Prayagraj,822,710
Sikar,Sarangarh,1335,1044
Sitamarhi,Baghpat,1053,856
Sitamarhi,Durgapur,481,385
Sitamarhi,Faridabad,1004,833
Sitamarhi,Pakur,450,320
Sitamarhi,Una,1407,1048
Sitapur,Chitrakoot,316,265
Sitapur,Durgapur,933,803
Sitapur,Gaya,628,530
Sitapur,Rajsamand,899,732
Sri Ganganagar,Chitrakoot,1045,866
Sri Ganganagar,Pakur,1838,1500
Sri Ganganagar,Rohtas,1346,1135
Sri Ganganagar,Sri Ganganagar,0,0
Una,Nawada,1451,1165
Una,Sitamarhi,1407,1048
